Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
State Bank of India,3.8,Banking | Mumbai +522 other locations,"Highly Rated For Job Security, Salary & Benefits  Critically Rated For Work Life Balance",3.7k,10.7k,230,10,423,3,500
CBRE,4.2,Real Estate | Los Angeles +79 other locations,"Highly Rated For Skill Development / Learning, Job Security, Company Culture",3.7k,16.8k,248,56,493,18,500
Bosch,4.2,Auto Components | Gerlingen +107 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",3.7k,19.7k,325,--,652,16,500
Hyundai Motor India Limited,4.4,Automobile | Seoul +276 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning",3.6k,13.6k,244,8,593,23,500
Persistent Systems,3.5,IT Services & Consulting | Pune +35 other locations,"Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",3.6k,36.4k,589,170,430,19,500
Dell,4.1,Consumer Electronics & Appliances | Round Rock +101 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning  Critically Rated For Promotions / Appraisal",3.6k,26.6k,383,29,582,25,500
SBI Life Insurance Company,3.8,Insurance | Mumbai +563 other locations,Highly Rated For Job Security  Critically Rated For Promotions / Appraisal,3.6k,11.1k,218,2,351,10,500
JBM Group,4,Auto Components | Gurgaon/Gurugram +92 other locations,"Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",3.6k,13.5k,247,27,404,21,500
Schneider Electric,4.2,Industrial Automation | Paris +108 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security",3.6k,20.9k,339,346,496,10,500
Ecom Express,3.9,Logistics | Gurgaon +660 other locations,Critically Rated For Promotions / Appraisal,3.5k,9.1k,188,17,341,20,500
Marpu Foundation,4.9,Non-Profit | Hyderabad/Secunderabad +55 other locations,"Highly Rated For Company Culture, Work Satisfaction, Skill Development / Learning",3.5k,40,42,--,172,3,500
KEC International,4.1,Engineering & Construction | Mumbai +273 other locations,"Highly Rated For Job Security, Salary & Benefits, Skill Development / Learning  Critically Rated For Promotions / Appraisal",3.5k,11.9k,286,--,459,42,500
Bajaj Auto,3.9,Automobile | Pune +278 other locations,Critically Rated For Promotions / Appraisal,3.5k,13.5k,266,146,577,22,500
Nagarjuna Construction Company,4.1,Engineering & Construction | Hyderabad/Secunderabad +235 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",3.5k,10.7k,290,9,436,9,500
ITC Infotech,3.8,IT Services & Consulting | Bangalore/Bengaluru +55 other locations,"Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",3.5k,28k,318,64,340,8,500
Piramal Capital Housing Finance,4.2,NBFC | Mumbai +350 other locations,"Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits",3.5k,9k,180,8,273,29,500
Oyo Rooms,3.3,Hospitality | Gurgaon +119 other locations,"Critically Rated For Job Security, Promotions / Appraisal, Work Satisfaction",3.5k,21.5k,222,37,397,13,500
